01, 26525
02, 26328
03, 32276
04, 29627
05, 31864
06, 24422
07, 26417
08, 26323
09, 17381
10, 28470
11, 23283
12, 23885
13, 31913
14, 30987
15, 31253
16, 24988
17, 31507
18, 23411
19, 31882
20, 31396
21, 22815
22, 24686
23, 27687
24, 28003
25, 27944
26, 28133
27, 30292
28, 28018
29, 29641
30, 32301
31, 29584
32, 27498
33, 30021
34, 25206
35, 31803
36, 28388
37, 25582
38, 28263
39, 23001
40, 25158
41, 22983
42, 29267
43, 31387
44, 23087
45, 29047
46, 31142
47, 30975
48, 29105
49, 28862
50, 31308
51, 29328
52, 24121
53, 32722
54, 23930
55, 32417
56, 31636
57, 26458
58, 32352
59, 28404
60, 27017
61, 25707
62, 28077
63, 31569
64, 26817
65, 27964
66, 23797
67, 31256
68, 23724
69, 30109
70, 32480
71, 26330
72, 28631
73, 23235
74, 24892
75, 25735
76, 28641
77, 32043
78, 29704
79, 23010
80, 25162
81, 31172
82, 24741
83, 27088
84, 24948
85, 26279
86, 28474
87, 26945
88, 27447
89, 25935
90, 26894
91, 32759
92, 31505
93, 32541
94, 27710
95, 30329
96, 25005
97, 25871
98, 28296
99, 29873
100, 24395
101, 22897
102, 30049
103, 30879
104, 23546
105, 27370
106, 25136
107, 32314
108, 27379
109, 31602
110, 23442
111, 29966
112, 26716
113, 26110
114, 22848
115, 30044
116, 25718
117, 31218
118, 25076
119, 30465
120, 24406
121, 29611
122, 24172
123, 26416
124, 28922
125, 32449
126, 30603
127, 24550
128, 26974
129, 26022
130, 30381
131, 26034
132, 30617
133, 25350
134, 24201
135, 28408
136, 29436
137, 31045
138, 23802
139, 25502
140, 23508
141, 24184
142, 29796
143, 32235
144, 30512
145, 28065
146, 28038
147, 30018
148, 29222
149, 29596
150, 32105
151, 22957
152, 23646
153, 24887
154, 27692
155, 28177
156, 23870
157, 32629
158, 28525
159, 30515
160, 27819
161, 29464
162, 24094
163, 30800
164, 30485
165, 25794
166, 29910
167, 23403
168, 29986
169, 25028
170, 32716
171, 32472
172, 30657
173, 31679
174, 25052
175, 25881
176, 23148
177, 28281
178, 30756
179, 23241
180, 27365
181, 30728
182, 32181
183, 23604
184, 26031
185, 30179
186, 26470
187, 23155
188, 24688
189, 25125
190, 23662
191, 28439
192, 30516
193, 26662
194, 27898
195, 29681
196, 32572
197, 31473
198, 27326
199, 30687
200, 32216
201, 24488
202, 31018
203, 26369
2000, 26511
